"peak_number","name","formula","annot_delta_mass_ppm","calc_mw","m_z","rt_min","mass_list_name","palapye wwtp surface water","kasane wwtp (main) surface water","kasane wwtp (overflow) surface water","maun wwtp (main) waste water","maun wwtp (overflow) surface water","palapye wwtp (eff) waste water","francistown wwtp surface water","ghanzi wwtp surface water","glen valley (reclamation) surface water","glen valley (recreational) surface water","kasane (recreational) surface water","maun beach (before) surface water","maun beach (after) surface water","lecheng stream surface water","lecheng spring surface water","lotsane dam surface water","kasane (main) surface water","mogobane dam surface water","maru-a-pula surface water"
342,"Octyl decyl phthalate","C26 H42 O4",0.05,418.30833,419.3157,23.83,"mz_cloud",NA,8982802.24554049,NA,NA,NA,NA,NA,7775606.13165526,7603977.0397369,7034504.55225364,10296226.2522381,NA,NA,8651548.71257423,NA,NA,8604304.28755834,10191877.4891569,NA
90,"Octyl decyl phthalate","C26 H42 O4",0.07,418.30834,419.3157,23.565,"mz_cloud",1853458.8207809,NA,1792781.84977517,2150661.84516598,1981894.82840544,1999117.91706753,3185736.15108869,NA,NA,NA,NA,2031510.27094492,1743746.02842677,NA,2652873.47595503,2229708.49582984,NA,NA,2047834.74730176
2409,"Olanzapine","C17 H20 N4 S",-1.64,312.14035,313.14763,20.336,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3686405.54825828,NA,128538.170172311,NA
9727,"Olanzapine","C17 H20 N4 S",4.8,312.14237,313.14964,16.642,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,134058.531628031,NA,NA,NA,NA,NA,NA,NA
3975,"Oleic acid","C18 H34 O2",0.4,282.25599,283.26327,21.634,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,981580.755496124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,"Oleic acid","C18 H34 O2",0.36,282.25598,283.26326,21.966,"kps_pharmaceuticals_oct22",815529.873864627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1720996.77614681,573304.592239052,562111.453347881
351,"Oleic acid","C18 H34 O2",0.32,282.25597,283.26325,21.038,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1594377.13580144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,"Olodaterol","C21 H26 N2 O5",4.25,386.18581,387.19308,17.647,"kps_pharmaceuticals_oct22",19281200.9904642,21788148.6541328,1413283.9268062,35398136.1459463,19092571.9064804,13232635.3418484,7038920.01240741,NA,19524453.7053363,23168381.7264892,NA,NA,NA,7601433.15556338,3723094.82545568,4526581.74105193,NA,NA,47248231.5633918
1102,"Olomoucine","C15 H18 N6 O",1.58,298.15468,299.16196,17.668,"kps_pharmaceuticals_oct22",NA,NA,4902571.69587453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,404775.98505491,NA,NA,NA,NA,NA
172,"Olomoucine","C15 H18 N6 O",1.56,298.15467,299.16195,19.071,"kps_pharmaceuticals_oct22",29618820.0356472,303833.029977489,NA,186314.717046188,NA,21427007.5387312,33785784.1929174,319106.871894649,13065246.3687027,2282073.05010424,NA,NA,NA,NA,NA,NA,NA,NA,118222.105900199
8673,"Olomoucine","C15 H18 N6 O",1.84,298.15476,299.16203,17.45,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561133.962120205,NA,NA
3852,"Olomoucine","C15 H18 N6 O",2.04,298.15482,299.1621,16.13,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,2473098.86562874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2450,"Olomoucineii","C19 H26 N6 O2",1,370.21209,371.21937,18.703,"kps_pharmaceuticals_oct22",528222.439751783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,"Olomoucineii","C19 H26 N6 O2",1.51,370.21228,371.21956,17.715,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,2126589.62553947,NA,NA,NA,780728.799505164,2682441.60757565,NA,NA,NA,NA,NA,NA,NA,NA,NA
2361,"Orphenadrine","C18 H23 N O",0.47,269.17809,270.18533,16.852,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,4061726.79812883,NA,NA,NA,NA,NA,NA,NA,NA,NA
8930,"Orteronel","C18 H17 N3 O2",-1.92,307.13149,308.13876,17.96,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,477265.901313952,NA,NA,NA,NA,NA
4877,"Oseltamivir","C16 H28 N2 O4",0.48,312.20506,313.21233,10.83,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1139929.62107469,NA,NA,NA,NA,1177312.47552794,NA,NA,1413988.89112617
641,"Oxabolone","C18 H26 O3",0.56,290.18836,291.19563,18.019,"kps_psychoactive_substances_v2",12581126.2403649,3551073.73001986,4859054.54912151,NA,2883150.42869694,8046807.38579119,7632817.34518628,1227274.70228529,6519230.45941057,5536269.95694464,6926725.84445169,1512142.41038317,8282318.08783514,2019494.52273123,1997463.0841087,3869358.27755456,12100823.7852215,1440161.47356263,3789727.02659277
6980,"Oxamniquine","C14 H21 N3 O3",0.3,279.15838,280.16564,11.491,"kps_pharmaceuticals_oct22",1003635.8863492,447295.84799974,NA,NA,NA,824695.229176413,856349.888861458,NA,728356.970948183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1237,"Oxandrolone","C19 H30 O3",0.36,306.2196,307.22688,20.656,"kps_psychoactive_substances_v2",6983834.36863985,432399.77250079,370705.387264254,3786000.88443153,238997.006891173,3837518.26454692,NA,1419465.77769165,715221.21208268,237946.152135582,NA,NA,181829.491676146,NA,NA,288475.968491146,NA,NA,NA
1020,"Oxcarbazepine","C15 H12 N2 O2",0.4,252.08998,253.09725,11.402,"kps_pharmaceuticals_oct22",8519240.97899955,4888375.26464615,NA,3771661.26335238,2990980.79233993,7073683.59744825,4214190.9987844,1410968.40636667,5594852.76604099,2634040.66229389,NA,NA,NA,NA,NA,NA,NA,NA,NA
8208,"Oxeladin","C20 H33 N O3",0.02,335.24605,336.25334,20.346,"kps_pharmaceuticals_oct22",508155.883166785,NA,516515.733254668,592090.184385474,NA,396187.464533793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5685,"Oxoamide","C10 H12 N2 O2",0.29,192.08993,193.09721,1.991,"mz_cloud",NA,NA,NA,650538.868131985,NA,NA,1355974.72873193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6340,"Oxprenolol","C15 H23 N O3",0.39,265.1679,266.17517,8.865,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328229.623696184,NA,NA,NA,NA
75,"Oxprenolol","C15 H23 N O3",0.24,265.16786,266.17513,7.722,"kps_pharmaceuticals_oct22",12206690.3640475,NA,NA,27600175.997629,55412091.3590407,8401520.45351356,NA,NA,NA,14576012.4706699,NA,NA,NA,NA,NA,NA,NA,NA,NA
988,"Oxprenolol","C15 H23 N O3",0.41,265.1679,266.17518,5.653,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,8745463.44809332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4042,"Oxprenolol","C15 H23 N O3",0.3,265.16787,266.17515,4.259,"kps_pharmaceuticals_oct22",NA,NA,691841.666799385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4281,"Oxprenolol","C15 H23 N O3",0.38,265.16789,266.17517,11.792,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2206418.82667689,NA,NA,NA,NA,NA,NA
8547,"Oxycodone","C18 H21 N O4",0.56,315.14724,316.15451,5.766,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,585341.722308063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1106,"Oxymesterone","C20 H30 O3",0.3,318.21959,319.22687,17.368,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6556487.62099822,NA,NA,NA,NA,NA,NA
2042,"Oxymorphone","C17 H19 N O4",-1.35,301.131,302.13828,8.373,"kps_psychoactive_substances_v2",1624610.47699477,NA,NA,NA,NA,1321716.09025874,4663075.09611416,NA,985298.001920877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"Oxyphencyclimine","C20 H28 N2 O3",-2.15,344.20925,345.21653,20.611,"kps_pharmaceuticals_oct22",NA,NA,NA,276565.495056466,NA,4904420.82633861,NA,NA,NA,NA,NA,NA,NA,3246038.17302954,235790.097042108,NA,NA,NA,NA
9012,"Oxyphencyclimine","C20 H28 N2 O3",0,344.20999,345.21727,12.614,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,255947.954272808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3316,"Oxyphenonium","C21 H33 N O3",0,347.24604,348.25332,9.523,"mz_cloud",966325.03492224,365151.073310852,NA,NA,1969800.71249179,722867.939282684,515530.175883549,153144.502269683,2879829.49845383,1481242.93286409,NA,NA,NA,NA,NA,NA,NA,NA,NA
4131,"Oxytetracycline_BTM04920","C22 H24 N2 O10",-0.48,476.14286,477.15014,23.337,"itn_cyp_metabolites",1217587.45904157,628565.374621783,688965.897944479,2296424.50309969,1576129.47600658,NA,NA,768319.67412419,735612.399143095,1622547.42855519,NA,NA,NA,659585.989016567,805231.618594307,747258.205054022,928324.039490199,669130.00452564,NA
7957,"Ozagrel","C13 H12 N2 O2",0.56,228.09001,229.09728,13.577,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241423.00002912,NA,NA,NA,NA
5163,"Ozagrel","C13 H12 N2 O2",0.51,228.08999,229.09727,8.8,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,963381.216460306,1067190.89978867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,"PD 0200347","C10 H17 N3 O2",-0.14,211.13205,212.13932,1.277,"mz_cloud",NA,16357783.4986909,20322568.5224466,15347426.3411577,NA,NA,NA,NA,NA,39897094.7915157,NA,13853811.4722272,22049141.681111,NA,NA,NA,NA,11196013.6047011,45336787.4003679
5894,"PEG Monolaurate n4","C20 H40 O6",0.18,376.28256,399.27179,20.525,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1440792.17096525,NA,NA
2963,"PEG Monolaurate n6","C24 H48 O8",0.11,464.33497,482.36887,18.241,"mz_cloud",NA,614774.487499852,NA,NA,NA,NA,3214497.34452042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,"PEG n10","C20 H42 O11",-0.08,458.27267,476.3065,9.972,"mz_cloud",292064545.966545,1328935.79833541,NA,5235609.41090206,1935016.12999137,170799332.146274,4853541.79465662,4885389.12886251,1945745.81925252,2807117.93855493,11472783.5762637,4130013.239253,2628011.02634097,4392254.01785461,607852.478533585,6018893.14306308,10429937.9822213,2071727.91270725,2913476.47552312
10,"PEG n11","C22 H46 O12",0.04,502.29895,520.33279,10.408,"mz_cloud",334931188.085596,1366548.96072765,NA,5336844.53629575,NA,152864058.161484,4653561.95246556,4639906.61594009,1867518.48822125,2863976.57935909,12231640.2766943,4695150.53174344,3546626.00902444,3889931.60366539,426895.312176135,6241007.59155189,11699304.13379,2023033.17987721,2430352.61373172
12,"PEG n12","C24 H50 O13",-0.13,546.32507,564.35884,10.796,"mz_cloud",250648556.138699,1532502.30467289,NA,4462982.77670647,1794091.54909456,110787521.793594,3861150.99431237,3918633.2090261,1486556.67288034,3366122.02504618,11197547.0682966,4614869.7851373,3490212.77351151,2868525.14684448,386221.185268828,3972211.35012618,8811208.82650323,1541947.84029561,2108353.39735318
79,"PEG n13","C26 H54 O14",-0.1,590.3513,608.38526,11.142,"mz_cloud",62972503.4499224,NA,NA,4046953.8558832,811575.626955086,35975051.6832933,3520744.44008166,2996037.175733,1042240.11113906,2469795.2068382,9790690.22880196,2785866.23629897,3455470.04523977,2046494.70465809,NA,1804130.85819761,7156843.83887842,1008782.97292082,1556384.07805412
60,"PEG n14","C28 H58 O15",-0.25,634.37741,652.41123,11.471,"mz_cloud",72200239.134521,NA,NA,3765815.78745945,1210909.59638475,37439573.2119089,2675076.9976025,NA,806803.527106251,1911664.09680533,4799490.17734662,NA,3148239.1599965,1075518.22660542,NA,NA,NA,NA,NA
142,"PEG n15","C30 H62 O16",-0.45,678.40348,701.39266,11.765,"mz_cloud",41311666.1668234,NA,NA,3238045.21871282,1201985.9653615,20236167.0942881,2862546.62229028,1089052.04637235,774615.911808811,1962672.24068895,3177836.49438796,1013054.60698145,NA,NA,NA,NA,2358005.0134363,NA,NA
2740,"PEG n5","C10 H22 O6",0.49,238.14175,239.14903,8.289,"mz_cloud",3460433.78910335,NA,NA,NA,NA,1452169.35523157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1743,"PEG n6","C12 H26 O7",0.52,282.168,283.17528,8.928,"mz_cloud",5319228.13166266,NA,NA,NA,NA,2449992.74496082,NA,NA,NA,NA,143813.699010433,NA,NA,NA,NA,NA,NA,NA,NA
1002,"PEG n7","C14 H30 O8",0.4,326.1942,327.20148,8.929,"mz_cloud",8649411.82979411,NA,NA,NA,NA,3305201.68856723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"PEG n8","C16 H34 O9",-0.22,370.2202,371.2275,8.928,"mz_cloud",383384042.722408,1115191.74944942,NA,5565408.95448399,2678704.85906864,169700708.133804,8218191.96376654,3837932.79656925,3167343.93673894,4528704.29381745,12720076.3458388,3599037.92589769,1187156.79445687,3861645.95924438,1010660.63507354,7560037.62374478,4706480.11768771,1656513.58192075,2778932.24374751
260,"PPG n10","C30 H62 O11",-0.12,598.42914,621.41831,18.205,"mz_cloud",18885619.7319057,2539153.89308215,NA,NA,NA,15066269.5055737,24581550.8058385,NA,10728711.2793447,NA,NA,NA,NA,NA,NA,NA,827769.596233568,NA,1768677.23329963
217,"PPG n7","C21 H44 O8",0.15,424.30368,425.31101,15.904,"mz_cloud",7140211.81485666,NA,NA,NA,NA,6002529.42273648,27362286.2010549,NA,7646203.25610507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"PPG n8","C24 H50 O9",0.02,482.34549,505.3347,16.832,"mz_cloud",19023869.8994153,NA,NA,NA,NA,13875371.0572227,59227715.6477283,NA,19173684.5650729,NA,NA,NA,NA,NA,NA,NA,NA,NA,3050475.01108789
391,"PPG n9","C27 H56 O10",-0.19,540.38725,558.42104,17.585,"mz_cloud",7637714.35649505,NA,NA,1150932.9843402,NA,NA,14319377.6466291,NA,5311368.90296153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8120,"Palbociclib","C24 H29 N7 O2",1.04,447.23874,448.24601,17.65,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129478.488808026,NA,NA,NA,NA,728864.322896631
7221,"Paliroden","C26 H24 F3 N",-2.91,407.1849,408.19217,7.349,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,1006344.34169751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1536,"Palmitelaidic acid methyl ester","C17 H32 O2",0.29,268.24031,269.24759,22.433,"mz_cloud",5663021.02465211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5967,"Palmitoylethanolamide","C18 H37 N O2",0.34,299.28253,300.28985,21.053,"kps_pharmaceuticals_oct22",1425217.48770733,NA,NA,NA,NA,1064986.35155122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8753,"Palmitoylethanolamide","C18 H37 N O2",0.36,299.28254,300.28981,18.944,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,503772.555595728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5952,"Panipenem","C15 H21 N3 O4 S",-0.12,339.12523,340.13252,11.972,"itn_kps",NA,NA,NA,NA,NA,NA,NA,NA,1431423.46021942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4492,"Panipenem_BTM00670","C15 H20 N3 O4 S",3.85,338.11875,339.12604,12.903,"itn_cyp_metabolites",1847602.24449408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9538,"Paquinimod","C21 H22 N2 O3",-4.86,350.16134,351.16862,19.809,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193014.196244804,NA,NA
3938,"Paraldehyde","C6 H12 O3",0.77,132.07875,133.08602,6.592,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,151838.179166638,NA,NA,NA,NA,NA
766,"Paraldehyde","C6 H12 O3",0.7,132.07874,133.08602,8.935,"kps_pharmaceuticals_oct22",10921965.6128606,NA,NA,197535.535503093,NA,4822443.67624815,NA,NA,NA,NA,231409.389507048,NA,NA,NA,NA,NA,NA,NA,102146.996378175
854,"Paraldehyde","C6 H12 O3",0.71,132.07874,133.08602,8.286,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,283274.810694128,NA,NA,NA
1551,"Paraldehyde","C6 H12 O3",0.74,132.07874,133.08602,7.517,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,345578.303031409,NA,254987.833262616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4558,"Pardoprunox","C12 H15 N3 O2",0.51,233.11655,234.12382,6.344,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,1338950.09897315,973604.32102096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7796,"Pardoprunox","C12 H15 N3 O2",0.28,233.11649,234.12377,7.22,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,383011.55434917,NA,NA,NA
4837,"Patulin_BTM03656","C7 H6 O5",0.39,170.02159,171.02887,13.549,"itn_cyp_metabolites",NA,NA,NA,NA,NA,1851684.45120721,NA,NA,NA,NA,NA,NA,NA,1836049.68116293,222760.630427056,NA,NA,NA,NA
8520,"Peldesine","C12 H11 N5 O",0.15,241.0964,242.10367,11.939,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,427572.992600024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
877,"Pemirolast","C10 H8 N6 O",2.47,228.07652,251.06574,5.981,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8913088.75263049,NA,NA,NA,NA,NA
8290,"Pemoline","C9 H8 N2 O2",0.22,176.05862,177.0659,7.357,"kps_psychoactive_substances_v2",521691.066370198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4024,"Pemoline","C9 H8 N2 O2",0.34,176.05864,177.06591,8.274,"kps_psychoactive_substances_v2",NA,NA,NA,1721401.79928836,2372593.9204366,NA,NA,224968.047328546,NA,928618.385622463,NA,NA,NA,NA,NA,NA,NA,NA,NA
7130,"Penbutolol","C18 H29 N O2",0.76,291.22005,292.22733,11.303,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,966212.070491624,NA,NA,NA,NA,NA,NA,657305.158211899,NA,NA,NA,NA,NA
3889,"Penciclovir","C10 H15 N5 O3",2.89,253.11822,271.15163,10.275,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,2448943.92292531,NA,NA,NA,NA,NA,NA,NA,231919.427147989,NA,NA,NA,NA,NA
4630,"Penciclovir","C10 H15 N5 O3",0.44,253.1176,254.12488,4.483,"kps_pharmaceuticals_oct22",1597323.1991903,NA,199104.257316696,NA,NA,NA,2034962.17187586,NA,NA,NA,NA,NA,NA,NA,NA,NA,154617.957801387,NA,NA
6242,"Penicillic acid","C8 H10 O4",0.25,170.05795,171.06523,7.397,"mz_cloud",1326821.59046466,NA,NA,NA,NA,1082583.34313613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7859,"Penicillic acid","C8 H10 O4",0.24,170.05795,171.06523,6.781,"mz_cloud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,802955.366478189,NA,NA
8450,"Penicillin A_BTM00930","C16 H24 N2 O4 S",0.07,340.1457,341.15298,8.843,"itn_cyp_metabolites",NA,214683.42691454,NA,NA,NA,NA,NA,NA,NA,NA,600996.094486585,NA,NA,NA,NA,NA,442368.60058448,NA,NA
8609,"Penicillin A_BTM00930","C16 H24 N2 O4 S",-4.1,340.14428,341.15156,18.332,"itn_cyp_metabolites",NA,NA,NA,NA,385125.397907091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3350,"Pentamidine","C19 H24 N4 O2",-4.12,340.18853,341.19577,11.095,"itn_kps",NA,NA,NA,NA,NA,NA,NA,NA,NA,212051.032087628,NA,NA,NA,NA,NA,NA,NA,NA,NA
9579,"Pentobarbital sodium","C11 H17 N2 Na O3",0.16,248.11373,249.121,6.168,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,229953.482340291,NA,NA,NA,NA,NA,NA,NA,143642.627438895,NA,171288.14963662
9505,"Pentobarbital sodium","C11 H17 N2 Na O3",0.59,248.11383,249.12111,5.816,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239828.168583503,NA,NA,NA,NA,NA,NA
7350,"Pentostatin","C11 H16 N4 O4",0.52,268.11729,291.10652,7.974,"kps_pharmaceuticals_oct22",953805.140412914,790338.972418758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825,"Pentoxifylline","C13 H18 N4 O3",-4.27,278.1367,301.12593,6.086,"itn_cyp_metabolites",6847702.97461299,NA,NA,NA,NA,5259877.91519195,8671518.22046796,2188370.14666869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8126,"Pentylone","C13 H17 N O3",0.56,235.12097,236.12825,8.778,"kps_psychoactive_substances_v2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,726563.208623743,NA,NA,NA,NA,NA,NA
4219,"Pentylone","C13 H17 N O3",0.39,235.12093,236.12821,6.677,"kps_psychoactive_substances_v2",NA,NA,NA,NA,2241826.81829101,NA,NA,NA,NA,1355784.6473184,NA,NA,NA,NA,NA,NA,NA,NA,NA
2441,"Peramivir","C15 H28 N4 O4",0.27,328.21114,329.21842,1.245,"kps_pharmaceuticals_oct22",1388866.96675782,1467792.53713797,NA,NA,NA,1521801.13029543,3293741.55001403,479728.28475454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,"Perospirone","C23 H30 N4 O2 S",-1.59,426.20827,427.21555,22.574,"kps_pharmaceuticals_oct22",256945.77576467,1664916.27167593,NA,1528649.46375147,267622.663492604,NA,20491175.7571164,NA,317123.345265351,NA,NA,NA,1100366.44445118,NA,NA,NA,NA,NA,NA
5313,"PharmaGSID_47333","C22 H30 N4 O2",-3.67,382.23547,383.24275,12.975,"mz_cloud",376264.084457417,NA,NA,1682018.50195033,NA,NA,NA,1166319.63794157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6427,"Phenacemide","C9 H10 N2 O2",0.26,178.07427,179.08156,6.973,"kps_pharmaceuticals_oct22",NA,NA,981908.329717771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6387,"Phenacemide","C9 H10 N2 O2",0.3,178.07428,179.08156,2.878,"kps_pharmaceuticals_oct22",NA,NA,NA,828477.765892513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8052,"Phenacemide","C9 H10 N2 O2",0.41,178.0743,179.08158,3.527,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,151875.197019326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5629,"Phenazone","C11 H12 N2 O",0.33,188.09503,189.1023,5.172,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514437.739923504,NA,NA,NA,NA
523,"Phenazone","C11 H12 N2 O",0.39,188.09504,189.10231,13.744,"kps_pharmaceuticals_oct22",11845477.2791419,882794.701013044,3146484.45995004,3743163.51647878,14606153.818695,10556425.8828769,1242694.29173207,2889213.75875799,5263720.26451965,6310530.86312662,NA,NA,NA,NA,NA,NA,NA,NA,NA
5257,"Phenethicillin","C17 H20 N2 O5 S",0.06,364.10931,365.11659,6.376,"itn_kps",NA,NA,NA,NA,NA,NA,1706375.37626528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8076,"Pheniprazine","C9 H14 N2",0.48,150.11577,151.12305,8.36,"kps_pharmaceuticals_oct22",NA,398899.612795913,NA,NA,NA,NA,NA,NA,738398.9564574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
587,"Phenobarbital","C12 H12 N2 O3",0.5,232.08491,233.09219,13.209,"itn_kps",7457433.55490135,5572967.8591781,NA,NA,6405552.36636135,12808043.4789274,3532018.33960094,NA,6093803.69521955,13392857.4175408,NA,NA,NA,NA,NA,NA,NA,NA,NA
6488,"Phenobarbital","C12 H12 N2 O3",0.4,232.08488,233.09216,6.88,"itn_kps",NA,NA,NA,NA,NA,NA,NA,440451.991234501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1799,"Phenoxypropazine","C9 H14 N2 O",0.14,166.11064,167.11791,8.897,"kps_pharmaceuticals_oct22",NA,2809545.81898697,NA,NA,NA,NA,4679831.12098765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7266,"Phenoxypropazine","C9 H14 N2 O",0.01,166.11061,167.11789,11.071,"kps_pharmaceuticals_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,989813.991346619,NA,NA,NA,NA,NA,NA
5023,"Phenoxypropazine","C9 H14 N2 O",0.12,166.11063,167.11791,7.489,"kps_pharmaceuticals_oct22",NA,NA,NA,1594759.74562277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1853,"Phensuximide","C11 H11 N O2",0.22,189.07902,190.0863,10.852,"kps_pharmaceuticals_oct22",2841789.92996396,NA,NA,NA,NA,1852346.32568722,4891401.40191784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3278,"Phensuximide","C11 H11 N O2",0.26,189.07903,190.0863,9.205,"kps_pharmaceuticals_oct22",NA,NA,2914920.45760561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2467,"Phenyl phosphate","C6 H7 O4 P",0.4,174.00827,175.01554,22.041,"mz_cloud",NA,NA,NA,NA,NA,3891628.6920285,NA,NA,NA,NA,NA,NA,NA,1643397.59730415,1043180.814517,NA,NA,NA,NA
